Week,2012 Aurora shooting: (Worldwide),Charleston church shooting: (Worldwide),2011 Tucson shooting: (Worldwide),2012 Oak Creek shooting: (Worldwide)
4/5/14,0,0,0,0
4/12/14,0,0,0,0
4/19/14,0,0,0,0
4/26/14,0,0,0,0
5/3/14,0,0,0,0
5/10/14,0,0,0,0
5/17/14,0,0,0,0
5/24/14,0,0,0,0
5/31/14,0,0,0,0
6/7/14,0,0,0,0
6/14/14,0,0,0,0
6/21/14,0,0,0,0
6/28/14,0,0,0,0
7/5/14,0,0,0,0
7/12/14,0,0,0,0
7/19/14,0,0,0,0
7/26/14,0,0,0,0
8/2/14,0,0,0,0
8/9/14,0,0,0,0
8/16/14,0,0,0,0
8/23/14,0,0,0,0
8/30/14,0,0,0,0
9/6/14,0,0,0,0
9/13/14,0,0,0,0
9/20/14,0,0,0,0
9/27/14,0,0,0,0
10/4/14,0,0,0,0
10/11/14,0,0,0,0
10/18/14,0,0,0,0
10/25/14,0,0,0,0
11/1/14,0,0,0,0
11/8/14,0,0,0,0
11/15/14,0,0,0,0
11/22/14,0,0,0,0
11/29/14,0,0,0,0
12/6/14,0,0,0,0
12/13/14,0,0,0,0
12/20/14,0,0,0,0
12/27/14,0,0,0,0
1/3/15,0,0,0,0
1/10/15,0,0,0,0
1/17/15,0,0,0,0
1/24/15,0,0,0,0
1/31/15,0,0,0,0
2/7/15,0,0,0,0
2/14/15,0,0,0,0
2/21/15,0,0,0,0
2/28/15,0,0,0,0
3/7/15,0,0,0,0
3/14/15,0,0,0,0
3/21/15,0,0,0,0
3/28/15,0,0,0,0
4/4/15,0,1,0,0
4/11/15,0,0,0,0
4/18/15,0,0,0,0
4/25/15,1,0,0,0
5/2/15,0,0,0,0
5/9/15,0,0,0,0
5/16/15,0,0,0,0
5/23/15,0,0,0,0
5/30/15,0,0,0,0
6/6/15,0,0,0,0
6/13/15,1,64,0,0
6/20/15,0,17,0,0
6/27/15,0,4,0,0
7/4/15,0,2,0,0
7/11/15,2,1,0,0
7/18/15,1,1,0,0
7/25/15,0,1,0,0
8/1/15,1,1,0,0
8/8/15,0,0,0,0
8/15/15,0,0,0,0
8/22/15,1,1,0,0
